"ID","Kategori","Şehir","Türkçe Adı","İngilizce Adı","Arapça Adı","Alt Tür","Durum","Alkol Durumu","Öncelik","Sitedeki Dosya / Slug","Kaynak ve Notlar","Son Güncelleme"
"halep","city","GENEL","Halep","Aleppo","حلب","Sabun ve taş","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","cities/halep.json","Ticaretin şehri. Kalesi bir tepenin üstünde değil, tepenin kendisi. Çarşılar yeniden açılıyor, sabun atölyeleri çalışıyor. Nereden başlanır ve ne kadar sürer.","2026-08-20"
"humus","city","GENEL","Humus","Homs","حمص","Geçidin şehri","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","cities/humus.json","Suriye'nin ortasında, sahille içeriyi ayıran tek doğal geçidin ağzında. Humus'ta ne görülür, ne zaman gidilir ve Krak des Chevaliers'a nereden dönülür.","2026-08-20"
"lazkiye","city","GENEL","Lazkiye","Latakia","اللاذقية","Sahilin merkezi","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","cities/lazkiye.json","Suriye'nin ana limanı ve sahilin merkezi. Kayalık koylar, çam ormanları ve ülkenin en ılıman iklimi — Lazkiye'de ne yapılır, ne zaman gidilir, çevresinde ne var.","2026-08-20"
"sam","city","GENEL","Şam","Damascus","دمشق","Yasemin şehri","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","cities/sam.json","Dünyanın kesintisiz yaşanan en eski şehirlerinden biri. Kasiyun'un eteğinde, Barada vahasında. Nereden başlanır, hangi mahalle ne zaman gezilir, ne kadar sürer.","2026-08-20"
"tedmur","city","GENEL","Tedmür","Palmyra","تدمر","Çölün ortasındaki vaha","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","cities/tedmur.json","Bâdiye'nin ortasında bir vaha ve ayakta kalmış sütun dizileri. Tedmür'e nereden gidilir, ne zaman gidilir ve 2015 sonrasında kalıntılardan bugün ne kaldı.","2026-08-20"
"azm-sarayi","place","SAM","Azm Sarayı","The Azm Palace","قصر العظم","Şam · 18. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/azm-sarayi.json","1749'da bir Osmanlı valisinin yaptırdığı Şam evi: siyah bazalt ve beyaz kireçtaşı şeritleri, limon ağaçlı gölge avlu ve bugün içindeki halk sanatları müzesi.","2026-08-20"
"bab-antakya","place","HALEP","Bab Antakya","Bab Antakiya","باب أنطاكية","Halep · şehir kapısı","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/bab-antakya.json","Halep'in batı kapısı ve çarşıya açılan giriş. Kapıdan geçtiğin anda açık sokak bitiyor, üstü örtülü çarşı başlıyor. Kaleye çıkan hattın doğal başlangıcı.","2026-08-20"
"bab-kinnesrin","place","HALEP","Bab Kınnesrin","Bab Qinnasrin","باب قنسرين","Halep · 13. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/bab-kinnesrin.json","Halep eski şehrinin güney kapısı, Ulu Cami'ye 1 kilometre. Bugünkü hâli 1256'ya ait, ilk yapan 964'te Seyfüddevle; kanatları Amorium'dan gelen ganimetti.","2026-08-20"
"bab-kisan","place","SAM","Bab Kisan","Bab Kisan","باب كيسان","Şam · Roma temeli, 1939 kilise","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/bab-kisan.json","Eski Şam'ın güneydoğu kapısı, Roma surunda Satürn'ün kapısıydı. 1939'dan beri kapının kendisi bir kilisenin cephesi. Nasıl gidilir, ne görülür, ne kadar sürer.","2026-08-20"
"bab-sarki","place","SAM","Bab Şarki","Bab Sharqi","الباب الشرقي","Şam · MS 3. yüzyıl","YAYINDA","Alkolsüz (Doğrulandı)","Tamamlandı","places/bab-sarki.json","Eski Şam'ın doğu kapısı ve Roma planını hâlâ okutan tek kapı. Doğru Sokak buradan başlıyor, Hristiyan mahallesi hemen içinde. Şehri doğru yönden okumanın başlangıcı.","2026-08-20"
