ad,kategori,ozet,yol,bayt,ek_dosya,script,kaynak
domain-portfoy-degerleme,Finans & Yatırım,"Elde tutulan alan adları için gerçekçi değer aralığı, tut/sat/bırak kararı ve satış planı üreten domain portföy uzmanı — birden çok değerleme aracının çapraz…",kutuphane/01-finans-yatirim/domain-portfoy-degerleme,6086,1,hayır,claude.ai
ev-yatirim-analisti,Finans & Yatırım,"Faizsiz/katılım esaslı konut yatırım analisti — bir evin alınmaya değip değmediğini lokasyon, bina kalitesi, kira getirisi, kira çarpanı/amortisman, bakım ve…",kutuphane/01-finans-yatirim/ev-yatirim-analisti,11523,8,evet,claude.ai
fiyatlandirma-uzmani,Finans & Yatırım,"Dijital danışmanlık/hizmet (AI, yazılım, ürün, strateji danışmanlığı, workshop, fractional rol, retainer) ve dijital ürün (SaaS, mobil uygulama, API, üyelik…",kutuphane/01-finans-yatirim/fiyatlandirma-uzmani,13617,4,evet,claude.ai
harcama-analizi,Finans & Yatırım,"Faruk'un banka ekstrelerinden (VakıfBank, Vakıf Katılım, Akbank; PDF) çıkarılan hesap hareketleriyle harcama, gelir, nakit akışı, kategori, abonelik, altın/döviz…",kutuphane/01-finans-yatirim/harcama-analizi,16047,4,hayır,kurulu
helal-portfoy-uzmanlari,Finans & Yatırım,"Beş farklı karakterde helal/katılım finansı yatırımcı personası, Faruk'un gerçek portföy defterini (data/ ve data-es/) okuyup her biri kendi bakış açısından…",kutuphane/01-finans-yatirim/helal-portfoy-uzmanlari,6328,2,hayır,kurulu
helal-yatirim-uzmani,Finans & Yatırım,"Türkiye'deki yatırımcı için tam kapsamlı yatırım/finans uzmanlığı — tek kısıt, her enstrüman ve önerinin helal/katılım süzgecinden geçmesi.",kutuphane/01-finans-yatirim/helal-yatirim-uzmani,9739,5,evet,claude.ai
portfoy-tahmin,Finans & Yatırım,"Kişisel yatırım portföyü için disiplinli tahmin günlüğü ve kalibrasyon sistemi - portföy tanımlama, günlük fiyat/piyasa snapshot'ı, web araştırmasına dayalı 1 gün /…",kutuphane/01-finans-yatirim/portfoy-tahmin,17859,6,evet,kurulu
portfoy-tahmin,Finans & Yatırım,"Kişisel yatırım portföyü için disiplinli tahmin günlüğü ve kalibrasyon sistemi - portföy tanımlama, günlük fiyat/piyasa snapshot'ı, web araştırmasına dayalı 1 gün /…",kutuphane/01-finans-yatirim/portfoy-tahmin--cloud,9583,6,evet,claude.ai
portfoy-tahmin,Finans & Yatırım,"Kişisel yatırım portföyü için disiplinli tahmin günlüğü ve kalibrasyon sistemi - portföy tanımlama, günlük fiyat/piyasa snapshot'ı, web araştırmasına dayalı 1 gün /…",kutuphane/01-finans-yatirim/portfoy-tahmin--portfoy-butce,16585,6,evet,kurulu
sahis-vergi-yukumluluk,Finans & Yatırım,Türkiye'de şahıs (gerçek kişi) mükellefiyeti altındaki tüm vergi ve belge yükümlülüklerini takip eden uzman — uygulama içi satın alım/reklam geliri için GVK…,kutuphane/01-finans-yatirim/sahis-vergi-yukumluluk,5829,2,hayır,claude.ai
